NODE,TITLE,CATEGORY,DESCRIPTION,LINK_NAME,BACKREF,LABEL,TARGET,MULTIPLICITY,LINK_REQUIRED
study,Study,administrative,"A coordinated set of actions and observations designed to generate data, with the ultimate goal of discovery or hypothesis testing.",projects,studies,performed_for,project,many_to_one,TRUE
case,Case,administrative,The collection of all data related to a specific subject in the context of a specific project. ,studies,cases,member_of,study,many_to_one,TRUE
core_visit,Core Visit,clinical,"A visit by a patient or study participant to a medical professional. A clinical encounter that encompasses planned and unplanned trial interventions, procedures and assessments that may be performed on a subject. A visit has a start and an end, each described with a rule. The process by which information about the health status of an individual is obtained before and after a study has officially closed; an activity that continues something that has already begun or that repeats something that has already been done.",cases,core_visits,describes,case,many_to_one,TRUE
questionnaire,Questionnaire,clinical,"Values obtained from a mental health questionnaire performed at one of the recurrent patient visit. The mental health test includes depression, quality of life and daily activities questions.",core_visits,questionnaires,performed_at,core_visit,many_to_one,TRUE
ptsd_screen_questionnaire,PTSD Screen Questionairre,clinical,"Values obtained from a mental health questionnaire performed at one of the recurrent patient visit. The mental health test includes depression, quality of life and daily activities questions.",core_visits,ptsd_screen_questionnaires,performed_at,core_visit,many_to_one,TRUE
sympton_checklist,Symptoms,clinical,Values obtained from a patient questionnaire performed at one of the recurrent patient visit. ,core_visits,sympton_checklists,performed_at,core_visit,one_to_one,TRUE
living_scale_questionnaire,LS Questionairre,clinical,"Values obtained from a mental health questionnaire performed at one of the recurrent patient visit. The mental health test includes depression, quality of life and daily activities questions.",core_visits,living_scale_questionnaires,performed_at,core_visit,one_to_one,TRUE
traumatic_events_questionnaire,TE Questionairre,clinical,"Values obtained from a mental health questionnaire performed at one of the recurrent patient visit. The mental health test includes depression, quality of life and daily activities questions.",core_visits,traumatic_events_questionnaires,performed_at,core_visit,one_to_one,TRUE
family_history,Family History,clinical,Values obtained from a from a Demographic survey of patient during visit. ,core_visits,family_histories,performed_at,core_visit,one_to_one,TRUE
demographic,Demographic,clinical,"Data for the characterization of the patient by means of segementing the population (e.g., characterization by age, sex, or race).",core_visits,demographics,performed_at,core_visit,one_to_one,TRUE
followup,Followup ,clinical,Record of the administration and intention of additional actions taken stemming from treatment path determined at Core Visit. ,core_visits,followups,performed_at,core_visit,one_to_one,TRUE
treatment,Treatment,clinical,Record of the administration and intention of therapeutic agents provided to a patient to alter the course of a pathologic process.,core_visits,treatments,performed_at,core_visit,one_to_one,TRUE
